age,,education,education-num,race,capital-gain,capital-loss,hours-per-week,native-country,Income
27,232782, Some-college,10, White,0,0,40, United-States, <=50K
19,316868, Some-college,10, White,0,0,30, Mexico, <=50K
45,196584, Assoc-voc,11, White,0,1564,40, United-States, >50K
70,105376, Some-college,10, White,0,0,40, United-States, <=50K
31,185814, HS-grad,9, Black,0,0,30, United-States, <=50K
22,175374, Some-college,10, White,0,0,24, United-States, <=50K
36,108293, HS-grad,9, White,0,0,24, United-States, <=50K
64,181232, 11th,7, White,0,2179,40, United-States, <=50K
43,174662, Some-college,10, White,0,0,40, United-States, <=50K
47,186009, Some-college,10, White,0,0,38, Mexico, <=50K
34,198183, HS-grad,9, White,0,0,40, United-States, <=50K
33,163003, Bachelors,13, Asian-Pac-Islander,0,0,40, Philippines, <=50K
21,296158, HS-grad,9, White,0,0,35, United-States, <=50K
52,252903, HS-grad,9, White,0,0,45, United-States, >50K
48,187715, HS-grad,9, White,0,0,46, United-States, <=50K
23,214542, Bachelors,13, White,0,0,40, United-States, <=50K
71,494223, Some-college,10, Black,0,1816,2, United-States, <=50K
29,191535, HS-grad,9, White,0,0,60, United-States, <=50K
42,228456, Bachelors,13, Black,0,0,50, United-States, <=50K
68,38317, 1st-4th,2, White,0,0,20, United-States, <=50K
25,252752, HS-grad,9, White,0,0,40, United-States, <=50K
44,78374, Masters,14, Asian-Pac-Islander,0,0,40, United-States, <=50K
28,88419, HS-grad,9, Asian-Pac-Islander,0,0,40, England, <=50K
45,201080, Masters,14, White,0,0,40, United-States, >50K
36,207157, Some-college,10, White,0,0,40, Mexico, <=50K
39,235485, Assoc-acdm,12, White,0,0,42, United-States, <=50K
46,102628, Masters,14, White,0,0,40, United-States, <=50K
18,25828, 11th,7, White,0,0,16, United-States, <=50K
66,54826, Assoc-voc,11, White,0,0,20, United-States, <=50K
27,124953, HS-grad,9, White,0,1980,40, United-States, <=50K
28,175325, HS-grad,9, White,0,0,40, United-States, <=50K
51,96062, Some-college,10, White,0,1977,40, United-States, >50K
27,428030, Bachelors,13, White,0,0,50, United-States, <=50K
28,149624, Bachelors,13, White,0,0,40, United-States, >50K
27,253814, HS-grad,9, White,0,0,25, United-States, <=50K
21,312956, HS-grad,9, Black,0,0,40, United-States, <=50K
34,483777, HS-grad,9, Black,0,0,40, United-States, <=50K
18,183930, HS-grad,9, White,0,0,12, United-States, <=50K
33,37274, Bachelors,13, White,0,0,65, United-States, <=50K
44,181344, Some-college,10, Black,0,0,38, United-States, >50K
43,114580, Some-college,10, White,0,0,40, United-States, <=50K
30,633742, Some-college,10, Black,0,0,45, United-States, <=50K
40,286370, 7th-8th,4, White,0,0,40, Mexico, >50K
37,29054, Some-college,10, White,0,0,42, United-States, >50K
34,304030, HS-grad,9, Black,0,0,40, United-States, <=50K
41,143129, Bachelors,13, White,0,0,40, United-States, <=50K
53,135105, Bachelors,13, White,0,0,50, United-States, <=50K
31,99928, Masters,14, White,0,0,50, United-States, <=50K
58,109567, Doctorate,16, White,0,0,1, United-States, >50K
38,155222, Some-college,10, Black,0,0,28, United-States, <=50K
24,159567, Some-college,10, White,0,0,40, United-States, <=50K
41,523910, Bachelors,13, Black,0,0,40, United-States, <=50K
47,120939, Some-college,10, White,0,0,45, United-States, <=50K
41,130760, Bachelors,13, White,0,0,24, United-States, <=50K
23,197387, 5th-6th,3, White,0,0,40, Mexico, <=50K
36,99374, Some-college,10, White,0,0,40, United-States, <=50K
40,56795, Masters,14, White,14084,0,55, United-States, >50K
35,138992, Masters,14, White,7298,0,40, United-States, >50K
24,32921, HS-grad,9, White,0,0,40, United-States, <=50K
26,397317, Masters,14, White,0,1876,40, United-States, <=50K
19,170653, HS-grad,9, White,0,0,40, Italy, <=50K
51,259323, Bachelors,13, White,0,0,50, United-States, >50K
42,254817, Some-college,10, White,0,1340,40, United-States, <=50K
37,48211, HS-grad,9, White,0,0,35, United-States, <=50K
18,140164, 11th,7, White,0,0,40, United-States, <=50K
36,128757, Bachelors,13, Black,7298,0,36, United-States, >50K
35,36270, HS-grad,9, White,0,0,60, United-States, <=50K
58,210563, HS-grad,9, White,15024,0,35, United-States, >50K
17,65368, 11th,7, White,0,0,12, United-States, <=50K
44,160943, HS-grad,9, Black,0,0,40, United-States, <=50K
37,208358, HS-grad,9, White,0,0,40, United-States, >50K
35,153790, Some-college,10, Amer-Indian-Eskimo,0,0,40, United-States, <=50K
60,85815, HS-grad,9, Asian-Pac-Islander,0,0,40, United-States, <=50K
54,125417, 7th-8th,4, White,0,0,40, United-States, >50K
37,635913, Bachelors,13, Black,0,0,60, United-States, >50K
50,313321, Assoc-acdm,12, White,0,0,40, United-States, <=50K
38,182609, Bachelors,13, White,0,0,50, Poland, <=50K
45,109434, Bachelors,13, White,0,0,55, United-States, <=50K
25,255004, 10th,6, White,0,0,40, United-States, <=50K
31,197860, Some-college,10, White,0,0,40, United-States, <=50K
64,187656, 1st-4th,2, White,0,0,40, United-States, <=50K
90,51744, HS-grad,9, Black,0,2206,40, United-States, <=50K
54,176681, HS-grad,9, Black,0,0,20, United-States, <=50K
53,140359, Preschool,1, White,0,0,35, United-States, <=50K
18,243313, HS-grad,9, White,0,0,40, United-States, <=50K
60,24215, 10th,6, Amer-Indian-Eskimo,0,0,10, United-States, <=50K
66,167687, HS-grad,9, White,1409,0,50, United-States, <=50K
75,314209, Assoc-voc,11, White,0,0,20, Columbia, <=50K
65,176796, HS-grad,9, White,0,0,40, United-States, <=50K
35,538583, 11th,7, Black,3674,0,40, United-States, <=50K
41,130408, HS-grad,9, Black,0,0,38, United-States, <=50K
25,159732, Some-college,10, White,0,0,42, United-States, <=50K
33,110978, Some-college,10, Other,0,0,40, United-States, <=50K
28,76714, Prof-school,15, White,0,0,55, United-States, >50K
59,268700, HS-grad,9, White,0,0,40, United-States, <=50K
40,170525, Some-college,10, White,0,0,38, United-States, <=50K
41,180138, Bachelors,13, White,0,0,50, Iran, >50K
38,115076, Masters,14, White,0,0,70, United-States, >50K
23,115458, HS-grad,9, White,0,0,40, United-States, <=50K
40,347890, Bachelors,13, White,0,0,40, United-States, >50K
41,196001, HS-grad,9, White,0,0,20, United-States, <=50K
24,273905, Assoc-acdm,12, White,0,0,50, United-States, <=50K
20,119156, Some-college,10, White,0,0,20, United-States, <=50K
38,179488, Some-college,10, White,0,1741,40, United-States, <=50K
56,203580, HS-grad,9, White,0,0,35, ?, <=50K
58,236596, HS-grad,9, White,0,0,45, United-States, >50K
32,183916, HS-grad,9, White,0,0,34, United-States, <=50K
40,207578, Assoc-acdm,12, White,0,1977,60, United-States, >50K
45,153141, HS-grad,9, White,0,0,40, ?, <=50K
41,112763, Prof-school,15, White,0,0,40, United-States, >50K
42,390781, Bachelors,13, Black,0,0,40, United-States, <=50K
59,171328, 10th,6, Black,0,0,30, United-States, <=50K
19,27382, Some-college,10, White,0,0,40, United-States, <=50K
58,259014, Some-college,10, White,0,0,20, United-States, <=50K
42,303044, HS-grad,9, Asian-Pac-Islander,0,0,40, Cambodia, >50K
20,117789, HS-grad,9, White,0,0,40, United-States, <=50K
32,172579, HS-grad,9, White,0,0,30, United-States, <=50K
45,187666, Assoc-voc,11, White,0,0,45, United-States, <=50K
50,204518, 7th-8th,4, White,0,0,40, United-States, <=50K
36,150042, Bachelors,13, White,0,0,40, United-States, <=50K
45,98092, HS-grad,9, White,0,0,60, United-States, <=50K
17,245918, 11th,7, White,0,0,12, United-States, <=50K
59,146013, Some-college,10, White,4064,0,40, United-States, <=50K
26,378322, 11th,7, White,0,0,40, United-States, <=50K
37,257295, Some-college,10, Asian-Pac-Islander,0,0,75, Thailand, >50K
19,218956, Some-college,10, White,0,0,24, Canada, <=50K
64,21174, HS-grad,9, White,0,0,40, United-States, >50K
33,185480, Bachelors,13, White,0,0,45, United-States, <=50K
33,222205, HS-grad,9, White,0,0,40, United-States, >50K
61,69867, HS-grad,9, White,0,0,40, United-States, >50K
17,191260, 9th,5, White,1055,0,24, United-States, <=50K
50,30653, Masters,14, White,2407,0,98, United-States, <=50K
27,209109, Masters,14, White,0,0,35, United-States, <=50K
30,70377, HS-grad,9, White,0,0,40, United-States, <=50K
43,477983, HS-grad,9, Black,0,0,40, United-States, <=50K
44,170924, Some-college,10, White,7298,0,40, United-States, >50K
35,190174, Some-college,10, White,0,0,40, United-States, <=50K
25,193787, Some-college,10, White,0,0,40, United-States, <=50K
24,279472, Some-college,10, White,7298,0,48, United-States, >50K
22,34918, Bachelors,13, White,0,0,15, Germany, <=50K
42,97688, Some-college,10, White,5178,0,40, United-States, >50K
34,175413, Assoc-acdm,12, Black,0,0,45, United-States, <=50K
60,173960, Bachelors,13, White,0,0,42, United-States, <=50K
21,205759, HS-grad,9, White,0,0,40, United-States, <=50K
57,425161, Masters,14, White,15024,0,40, United-States, >50K
41,220531, Prof-school,15, White,0,0,60, United-States, >50K
50,176609, Some-college,10, White,0,0,45, United-States, <=50K
25,371987, Bachelors,13, White,0,0,40, United-States, <=50K
50,193884, 7th-8th,4, White,0,0,40, Ecuador, <=50K
36,200352, Bachelors,13, White,0,0,45, United-States, <=50K
31,127595, HS-grad,9, White,0,0,40, United-States, <=50K
29,220419, Bachelors,13, White,0,0,56, United-States, <=50K
21,231931, Some-college,10, White,0,0,45, United-States, <=50K
27,248402, Bachelors,13, Black,0,0,40, United-States, <=50K
65,111095, HS-grad,9, White,0,0,16, United-States, <=50K
37,57424, Bachelors,13, White,0,0,60, United-States, <=50K
39,157443, Masters,14, Asian-Pac-Islander,3464,0,40, ?, <=50K
24,278130, HS-grad,9, White,0,0,40, United-States, <=50K
38,169469, HS-grad,9, White,0,0,80, United-States, <=50K
48,146268, Bachelors,13, White,7688,0,40, United-States, >50K
21,153718, Some-college,10, Asian-Pac-Islander,0,0,25, United-States, <=50K
31,217460, HS-grad,9, White,0,0,45, United-States, >50K
55,238638, HS-grad,9, White,4386,0,40, United-States, >50K
24,303296, Some-college,10, Asian-Pac-Islander,0,0,40, Laos, <=50K
43,173321, HS-grad,9, White,0,0,40, United-States, <=50K
26,193945, Assoc-acdm,12, White,0,0,45, United-States, <=50K
46,83082, Assoc-acdm,12, White,0,0,33, United-States, <=50K
35,193815, Assoc-acdm,12, White,0,0,40, United-States, >50K
41,34987, Some-college,10, White,0,0,54, United-States, >50K
26,59306, Bachelors,13, White,0,0,40, United-States, <=50K
34,142897, Masters,14, Asian-Pac-Islander,7298,0,35, Taiwan, >50K
19,860348, Some-college,10, Black,0,0,25, United-States, <=50K
36,205607, Bachelors,13, Black,0,0,40, United-States, >50K
22,199698, Some-college,10, White,0,0,15, United-States, <=50K
24,191954, Some-college,10, White,0,0,40, United-States, <=50K
77,138714, Some-college,10, White,0,0,40, United-States, <=50K
22,399087, 5th-6th,3, White,0,0,40, Mexico, <=50K
29,423158, Some-college,10, White,0,0,40, United-States, <=50K
62,159841, HS-grad,9, White,0,0,24, United-States, <=50K
39,174308, HS-grad,9, White,0,0,40, United-States, <=50K
43,50356, Some-college,10, White,0,1485,50, United-States, <=50K
35,186110, HS-grad,9, White,0,0,45, United-States, <=50K
29,200381, 11th,7, White,0,0,40, United-States, <=50K
76,174309, Masters,14, White,0,0,10, United-States, <=50K
63,78383, HS-grad,9, White,0,0,45, United-States, <=50K
23,211601, Assoc-voc,11, Black,0,0,15, United-States, <=50K
43,187728, Some-college,10, White,0,1887,50, United-States, >50K
58,321171, HS-grad,9, White,0,0,40, United-States, <=50K
66,127921, HS-grad,9, White,2050,0,55, United-States, <=50K
41,206565, Some-college,10, Black,0,0,45, United-States, <=50K
26,224563, Bachelors,13, White,0,0,40, United-States, <=50K
47,178686, Assoc-voc,11, White,0,0,40, United-States, <=50K
55,98545, 10th,6, White,0,0,40, United-States, <=50K
53,242606, HS-grad,9, White,0,0,40, United-States, <=50K
17,270942, 5th-6th,3, White,0,0,48, Mexico, <=50K
30,94235, HS-grad,9, White,0,0,40, United-States, <=50K
49,71195, Masters,14, White,0,0,60, United-States, <=50K
19,104112, HS-grad,9, Black,0,0,30, Haiti, <=50K
45,261192, HS-grad,9, Black,0,0,40, United-States, <=50K
26,94936, Assoc-acdm,12, White,0,0,40, United-States, <=50K
38,296478, Assoc-voc,11, White,7298,0,40, United-States, >50K
36,119272, HS-grad,9, White,7298,0,40, United-States, >50K
33,85043, HS-grad,9, White,0,0,20, United-States, <=50K
22,293364, Some-college,10, Black,0,0,40, United-States, <=50K
43,241895, Bachelors,13, White,0,0,42, United-States, <=50K
67,36135, 11th,7, White,0,0,8, United-States, <=50K
30,151989, Assoc-voc,11, White,0,0,40, United-States, <=50K
56,101128, Assoc-acdm,12, White,0,0,25, Iran, <=50K
31,156464, Bachelors,13, White,0,0,25, United-States, <=50K
33,117963, Bachelors,13, White,0,0,40, United-States, >50K
26,192262, HS-grad,9, White,0,0,40, United-States, <=50K
33,111363, Bachelors,13, White,0,0,40, United-States, >50K
46,329752, 11th,7, White,0,0,30, United-States, <=50K
59,372020, Bachelors,13, White,0,0,40, United-States, >50K
38,95432, HS-grad,9, White,0,0,40, United-States, >50K
65,161400, 11th,7, Other,0,0,40, United-States, <=50K
40,96129, Assoc-voc,11, White,0,0,40, United-States, >50K
42,111949, HS-grad,9, White,0,0,35, United-States, <=50K
26,117125, 9th,5, White,0,0,40, Portugal, <=50K
36,348022, 10th,6, White,0,0,24, United-States, <=50K
62,270092, Masters,14, White,0,0,40, United-States, >50K
43,180609, Bachelors,13, White,0,0,45, United-States, <=50K
43,174575, Bachelors,13, White,0,1564,45, United-States, >50K
22,410439, HS-grad,9, White,0,0,55, United-States, <=50K
28,92262, HS-grad,9, White,0,0,40, United-States, <=50K
56,183081, Some-college,10, White,0,0,45, United-States, <=50K
22,362589, Assoc-acdm,12, White,0,0,15, United-States, <=50K
57,212448, Bachelors,13, White,0,0,45, United-States, >50K
39,481060, HS-grad,9, White,0,0,40, United-States, <=50K
26,185885, Some-college,10, White,0,0,15, United-States, <=50K
17,89821, 11th,7, White,0,0,10, United-States, <=50K
40,184018, Assoc-voc,11, White,0,0,38, United-States, >50K
45,256649, HS-grad,9, Black,0,0,40, United-States, <=50K
44,160323, HS-grad,9, Black,0,0,40, United-States, <=50K
20,350845, Some-college,10, White,0,0,10, United-States, <=50K
33,267404, HS-grad,9, White,0,0,40, United-States, <=50K
23,35633, Some-college,10, White,0,0,40, United-States, <=50K
46,80914, Masters,14, White,0,0,30, United-States, <=50K
38,172927, HS-grad,9, White,0,0,50, United-States, <=50K
54,174319, HS-grad,9, White,0,0,40, United-States, <=50K
46,214955, 5th-6th,3, White,0,2339,45, United-States, <=50K
25,344991, Some-college,10, White,0,0,40, United-States, <=50K
46,108699, Some-college,10, White,0,0,40, United-States, <=50K
36,117312, Some-college,10, White,0,0,40, United-States, <=50K
23,396099, HS-grad,9, White,0,0,25, United-States, <=50K
29,134152, HS-grad,9, White,0,0,40, United-States, <=50K
44,162028, Some-college,10, White,0,2415,6, United-States, >50K
19,25429, Some-college,10, White,0,0,16, United-States, <=50K
19,232392, HS-grad,9, White,0,0,40, United-States, <=50K
35,220098, HS-grad,9, White,0,0,40, United-States, >50K
27,301302, Bachelors,13, White,0,0,50, United-States, <=50K
46,277946, Assoc-acdm,12, White,0,0,40, United-States, <=50K
34,98101, Bachelors,13, White,7688,0,45, ?, >50K
34,196164, HS-grad,9, White,0,0,35, United-States, <=50K
44,115562, Some-college,10, White,0,0,40, United-States, <=50K
45,96975, Some-college,10, White,0,0,40, United-States, <=50K
20,137300, HS-grad,9, White,0,0,35, United-States, <=50K
25,86872, Bachelors,13, White,0,0,55, United-States, >50K
52,132178, Bachelors,13, White,0,0,50, United-States, >50K
20,416103, Some-college,10, White,0,0,40, United-States, <=50K
28,108574, Some-college,10, White,0,0,40, United-States, <=50K
50,288353, Bachelors,13, White,0,0,40, United-States, >50K
34,227689, Assoc-voc,11, White,0,0,64, United-States, <=50K
28,166481, 7th-8th,4, Other,0,2179,40, Puerto-Rico, <=50K
41,445382, Masters,14, White,0,1977,65, United-States, >50K
28,110145, HS-grad,9, White,0,0,40, United-States, <=50K
46,317253, HS-grad,9, White,0,0,25, United-States, <=50K
28,123147, Some-college,10, White,0,1887,40, United-States, >50K
32,364657, Some-college,10, White,0,0,50, United-States, <=50K
41,42346, Some-college,10, Black,0,0,24, United-States, <=50K
24,241951, HS-grad,9, Black,0,0,40, United-States, <=50K
33,118500, Some-college,10, White,0,0,40, United-States, <=50K
46,188386, Doctorate,16, White,15024,0,60, United-States, >50K
31,1033222, Some-college,10, White,0,0,40, United-States, <=50K
35,92440, 12th,8, White,0,0,50, United-States, >50K
52,190762, 1st-4th,2, White,0,0,40, Mexico, <=50K
30,426017, 11th,7, White,0,0,19, United-States, <=50K
34,243867, 11th,7, Black,0,0,40, United-States, <=50K
34,240283, HS-grad,9, White,0,0,40, United-States, <=50K
20,61777, Some-college,10, White,0,0,30, United-States, <=50K
17,175024, 11th,7, White,2176,0,18, United-States, <=50K
32,92003, Bachelors,13, White,0,0,40, United-States, >50K
29,188401, HS-grad,9, White,0,0,40, United-States, <=50K
33,228528, 10th,6, White,0,0,35, United-States, <=50K
25,133373, HS-grad,9, White,0,0,60, United-States, <=50K
36,255191, Masters,14, White,0,1408,40, United-States, <=50K
23,204653, HS-grad,9, White,0,0,72, Dominican-Republic, <=50K
63,222289, HS-grad,9, White,0,0,40, United-States, >50K
47,287480, Masters,14, White,0,0,40, United-States, <=50K
80,107762, HS-grad,9, White,0,0,24, United-States, <=50K
17,202521, 11th,7, White,0,0,40, United-States, <=50K
40,204116, Bachelors,13, White,2174,0,40, United-States, <=50K
30,29662, Assoc-acdm,12, White,0,0,25, United-States, >50K
27,116358, Some-college,10, Asian-Pac-Islander,0,1980,40, Philippines, <=50K
33,208405, Masters,14, White,0,0,50, United-States, >50K
34,284843, HS-grad,9, Black,594,0,60, United-States, <=50K
34,117018, Some-college,10, White,0,0,40, United-States, <=50K
23,81281, Some-college,10, White,0,0,40, United-States, <=50K
42,340148, Some-college,10, White,0,0,40, United-States, <=50K
29,363425, Bachelors,13, White,0,0,40, United-States, <=50K
45,45857, HS-grad,9, White,0,0,28, United-States, <=50K
24,191073, HS-grad,9, White,0,0,40, United-States, <=50K
44,116632, Some-college,10, White,0,0,40, United-States, >50K
27,405855, 9th,5, White,0,0,40, Mexico, <=50K
20,298227, Some-college,10, White,0,0,35, United-States, <=50K
44,290521, HS-grad,9, Black,0,0,40, United-States, <=50K
51,56915, HS-grad,9, Amer-Indian-Eskimo,0,0,40, United-States, <=50K
20,146538, HS-grad,9, White,0,0,40, United-States, <=50K
17,258872, 11th,7, White,0,0,5, United-States, <=50K
19,206399, HS-grad,9, Black,0,0,40, United-States, <=50K
45,197332, Some-college,10, White,0,0,55, United-States, >50K
60,245062, HS-grad,9, White,0,0,40, United-States, >50K
42,197583, Assoc-acdm,12, Black,0,0,40, ?, >50K
44,234885, HS-grad,9, White,0,0,40, United-States, >50K
40,72887, Assoc-voc,11, Asian-Pac-Islander,0,0,40, United-States, >50K
30,180374, HS-grad,9, White,0,0,40, United-States, <=50K
38,351299, Some-college,10, Black,0,0,50, United-States, <=50K
23,54012, HS-grad,9, White,0,0,60, United-States, <=50K
